GEOID,county,statefp,countyfp,year,pop
17027,Clinton,17,27,1830,2330
17027,Clinton,17,27,1840,3718
17027,Clinton,17,27,1850,5139
17027,Clinton,17,27,1860,10941
17027,Clinton,17,27,1870,16285
17027,Clinton,17,27,1880,18714
17027,Clinton,17,27,1890,17411
17027,Clinton,17,27,1900,19824
17027,Clinton,17,27,1910,22832
17027,Clinton,17,27,1920,22947
17027,Clinton,17,27,1930,21369
17027,Clinton,17,27,1940,22912
17027,Clinton,17,27,1950,22594
17027,Clinton,17,27,1960,24029
17027,Clinton,17,27,1970,28315
17027,Clinton,17,27,1980,32617
17027,Clinton,17,27,1990,33944
17027,Clinton,17,27,2000,35535
17027,Clinton,17,27,2010,37762
17027,Clinton,17,27,2017,37640
17083,Jersey,17,83,1840,4535
17083,Jersey,17,83,1850,7354
17083,Jersey,17,83,1860,12051
17083,Jersey,17,83,1870,15054
17083,Jersey,17,83,1880,15542
17083,Jersey,17,83,1890,14810
17083,Jersey,17,83,1900,14612
17083,Jersey,17,83,1910,13954
17083,Jersey,17,83,1920,12682
17083,Jersey,17,83,1930,12556
17083,Jersey,17,83,1940,13636
17083,Jersey,17,83,1950,15264
17083,Jersey,17,83,1960,17023
17083,Jersey,17,83,1970,18492
17083,Jersey,17,83,1980,20538
17083,Jersey,17,83,1990,20539
17083,Jersey,17,83,2000,21668
17083,Jersey,17,83,2010,22985
17083,Jersey,17,83,2017,22215
17119,Madison,17,119,1820,13550
17119,Madison,17,119,1830,6221
17119,Madison,17,119,1840,14433
17119,Madison,17,119,1850,20441
17119,Madison,17,119,1860,31251
17119,Madison,17,119,1870,44131
17119,Madison,17,119,1880,50126
17119,Madison,17,119,1890,51535
17119,Madison,17,119,1900,64694
17119,Madison,17,119,1910,89847
17119,Madison,17,119,1920,106895
17119,Madison,17,119,1930,143830
17119,Madison,17,119,1940,149349
17119,Madison,17,119,1950,182307
17119,Madison,17,119,1960,224689
17119,Madison,17,119,1970,250934
17119,Madison,17,119,1980,247691
17119,Madison,17,119,1990,249238
17119,Madison,17,119,2000,258941
17119,Madison,17,119,2010,269282
17119,Madison,17,119,2017,266153
17133,Monroe,17,133,1820,1537
17133,Monroe,17,133,1830,2000
17133,Monroe,17,133,1840,4481
17133,Monroe,17,133,1850,7679
17133,Monroe,17,133,1860,12832
17133,Monroe,17,133,1870,12982
17133,Monroe,17,133,1880,13682
17133,Monroe,17,133,1890,12948
17133,Monroe,17,133,1900,13847
17133,Monroe,17,133,1910,13508
17133,Monroe,17,133,1920,12839
17133,Monroe,17,133,1930,12369
17133,Monroe,17,133,1940,12754
17133,Monroe,17,133,1950,13282
17133,Monroe,17,133,1960,15507
17133,Monroe,17,133,1970,18831
17133,Monroe,17,133,1980,20117
17133,Monroe,17,133,1990,22422
17133,Monroe,17,133,2000,27619
17133,Monroe,17,133,2010,32957
17133,Monroe,17,133,2017,33739
17163,St. Clair,17,163,1800,1355
17163,St. Clair,17,163,1810,5007
17163,St. Clair,17,163,1820,5253
17163,St. Clair,17,163,1830,7078
17163,St. Clair,17,163,1840,13631
17163,St. Clair,17,163,1850,20180
17163,St. Clair,17,163,1860,37694
17163,St. Clair,17,163,1870,51068
17163,St. Clair,17,163,1880,61806
17163,St. Clair,17,163,1890,66571
17163,St. Clair,17,163,1900,86685
17163,St. Clair,17,163,1910,119870
17163,St. Clair,17,163,1920,136520
17163,St. Clair,17,163,1930,157775
17163,St. Clair,17,163,1940,166899
17163,St. Clair,17,163,1950,205995
17163,St. Clair,17,163,1960,262509
17163,St. Clair,17,163,1970,285176
17163,St. Clair,17,163,1980,267531
17163,St. Clair,17,163,1990,262852
17163,St. Clair,17,163,2000,256082
17163,St. Clair,17,163,2010,270056
17163,St. Clair,17,163,2017,264433
29071,Franklin,29,71,1820,2379
29071,Franklin,29,71,1830,3484
29071,Franklin,29,71,1840,7515
29071,Franklin,29,71,1850,11021
29071,Franklin,29,71,1860,18085
29071,Franklin,29,71,1870,30098
29071,Franklin,29,71,1880,26534
29071,Franklin,29,71,1890,28056
29071,Franklin,29,71,1900,30581
29071,Franklin,29,71,1910,29830
29071,Franklin,29,71,1920,28427
29071,Franklin,29,71,1930,30519
29071,Franklin,29,71,1940,33868
29071,Franklin,29,71,1950,36046
29071,Franklin,29,71,1960,44566
29071,Franklin,29,71,1970,55116
29071,Franklin,29,71,1980,71233
29071,Franklin,29,71,1990,80603
29071,Franklin,29,71,2000,93807
29071,Franklin,29,71,2010,101492
29071,Franklin,29,71,2017,102413
29099,Jefferson,29,99,1820,1835
29099,Jefferson,29,99,1830,2592
29099,Jefferson,29,99,1840,4296
29099,Jefferson,29,99,1850,6928
29099,Jefferson,29,99,1860,10344
29099,Jefferson,29,99,1870,15380
29099,Jefferson,29,99,1880,18736
